task,best_model_config,metric,value,protocol,source,caveat
Stress detection (WESAD),wearable physiology (gradient-boosted / xgboost floor),AUROC,0.955,subject-held-out 5x5 CV,outputs/_r2/finetuned_tasks_scoreboard.csv; outputs/_r2/comparative_analysis.csv,Single-modality wearable physiology; learned CACMF fusion does NOT beat it (fusion 0.871).
Stress detection (PhysioNet Non-EEG),wearable physiology (PCA -> logistic),AUROC,0.892,subject-held-out 5x5 CV,outputs/benchmark_scoreboard.csv (base_err 0.1079 = 1-AUROC); outputs/_r2/comparative_analysis.csv,Single-modality wins; fusion 0.871 loses.
Depression risk (Mumtaz MDD),LaBraM EEG foundation-model frozen probe,AUROC,0.961 window / 0.986 subject,subject-held-out (window + subject-aggregated),outputs/_labram_mumtaz/benchmark_scoreboard.csv (base_err 0.0392 = 1-AUROC 0.9608); outputs/product/screeners/mumtaz_depression/manifest.json (subject 0.9857),IDENTITY-LEAKAGE CONFOUND: subject identity decodable at 88.8% (52x chance) and diagnosis is subject-level; 0.961/0.986 is an empirically-confounded UPPER BOUND (outputs/_r2/depression_identity_audit.md).
Cognitive workload (EEGMAT),EEG + ECG (ECG-dominant single modality),AUROC,0.740,subject-held-out 5x5 CV,outputs/_labram_eegmat/benchmark_scoreboard.csv (base_err 0.2565 = 1-AUROC 0.7435); outputs/_r2/comparative_analysis.csv,Single-modality (ECG) is the ceiling; fusion 0.635 loses. EEG does not add.
Anxiety prediction (DEAP),EEG + peripheral physiology,AUROC,0.53,subject-held-out 5x5 CV,outputs/_r2/finetuned_tasks_scoreboard.csv; outputs/_r2/comparative_analysis.csv,HONEST NEGATIVE: at chance. Cross-subject affect on DEAP is a known-hard ceiling; fusion 0.531 also at chance.
Arousal prediction (DEAP),single: peripheral physiology,AUROC,0.548,subject-held-out 5x5 CV,outputs/_r2/comparative_analysis.csv,At/near chance; fusion 0.542 loses marginally.
Glucose instability (CGMacros),CGM deep model (GRN + conv + ensemble) hypo/hyper heads,AUROC,0.976 hypo / 0.981 hyper,patient-held-out,outputs/_r2/finetuned_tasks_scoreboard.csv (mean 0.9785); outputs/_r2/eval_cgmacros_v1.log (hypo 0.97607 / hyper 0.98107),Strong. Hypo/hyper event detection at ~0.98 AUROC.
Glucose forecast (CGMacros),neuroglycemic_net (CGM + meal-event fusion),RMSE@30min (mg/dL),12.99,patient-held-out,neuroglycemic-runtime/runs/cgmacros-cgm-aug-v1/missing_modality_ablation.csv (observed_modalities 12.987); outputs/_r2/comparative_analysis.csv,INTEGRATED WINS here: CGM+events 12.99 beats CGM-only 13.33 (-0.34). This is the ONE task where fusion helps. NB: GBM tabular baseline reaches 12.48 @30min on the ladder.
EHR clinical notes - surgical (MTSamples),Bio_ClinicalBERT + logistic regression,AUROC,0.910,held-out,outputs/clinical_notes_scoreboard.csv (clinicalbert+lr surgery 0.910324),ClinicalBERT wins the binary surgical task over TF-IDF (0.823).
EHR clinical notes - specialty (MTSamples),TF-IDF + logistic regression,macro-AUROC,0.961,held-out,outputs/clinical_notes_scoreboard.csv (tfidf+lr specialty macro_auroc 0.960621),HONEST SPLIT: on 40-way specialty, TF-IDF (0.961) BEATS Bio_ClinicalBERT (0.931). Transformer does not win here.
Clinical risk / mortality (MIMIC-IV demo),GBM on MIMIC-IV labs,AUROC,0.813,5-fold grouped CV (patient-held-out),outputs/_r2/finetuned_tasks_scoreboard.csv,Real but small-n: 15/252 events; read as indicative not validated.
Diabetes complication risk,no trained model,none,none,none,outputs/_r2/finetuned_tasks_scoreboard.csv,HONEST GAP: no open dataset carries real complication labels alongside these signals; not fine-tunable. Serving path abstains.
